"track_id","spotify_id","emotion","title","artist","id","acousticness","analysis_url","danceability","duration","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"TRBAIGR12903CFE27D","4pNDusZhcM2Cl0gMtSzGgn","anger","Collapsing New People","Fad Gadget","4pNDusZhcM2Cl0gMtSzGgn","0.03150000050663948","https://api.spotify.com/v1/audio-analysis/4pNDusZhcM2Cl0gMtSzGgn","0.5730000138282776","255627","0.8650000095367432","2.8899999961140566E-5","7","0.34200000762939453","-3.7360000610351562","0","0.039500001817941666","115.62999725341797","4","0.5569999814033508"
"TRFYMLK12903CFEE3E","5pPlBYmk6W1jNgccw3kS3v","anger","We Rule The Fucking Land","Zimmers Hole","5pPlBYmk6W1jNgccw3kS3v","1.2000000424450263E-5","https://api.spotify.com/v1/audio-analysis/5pPlBYmk6W1jNgccw3kS3v","0.492000013589859","230853","0.9509999752044678","0.014000000432133675","10","0.12800000607967377","-4.513999938964844","1","0.09960000216960907","94.99800109863281","4","0.11900000274181366"
"TRTRREY12903CDD9D4","0ai9xvb85BylFJ9JP2ogxe","anger","Blood","Candiria","0ai9xvb85BylFJ9JP2ogxe","8.559999987483025E-4","https://api.spotify.com/v1/audio-analysis/0ai9xvb85BylFJ9JP2ogxe","0.3659999966621399","196720","0.9620000123977661","3.389999910723418E-4","11","0.041600000113248825","-4.072000026702881","1","0.19099999964237213","140.31300354003906","3","0.4440000057220459"
"TRIODBR128F4248265","3BvDDNltw2UFBS0o7nHMRw","anger","Deathly","Aimee Mann","3BvDDNltw2UFBS0o7nHMRw","0.024000000208616257","https://api.spotify.com/v1/audio-analysis/3BvDDNltw2UFBS0o7nHMRw","0.5059999823570251","336733","0.6209999918937683","0.06769999861717224","2","0.1770000010728836","-8.302000045776367","1","0.031700000166893005","135.0469970703125","4","0.5400000214576721"
"TRGZHFZ128F145E59D","0pUED0wtNUsSZvmSlJVDhl","disgust","My Definition Of A Boombastic Jazz Style","Dream Warriors","0pUED0wtNUsSZvmSlJVDhl","0.12700000405311584","https://api.spotify.com/v1/audio-analysis/0pUED0wtNUsSZvmSlJVDhl","0.4620000123977661","264333","0.5920000076293945","0.0","4","0.050200000405311584","-13.678000450134277","0","0.4959999918937683","168.3979949951172","4","0.6499999761581421"
"TRWVQCM128F92F4847","22hso4hlxjEiwgCMEMVfOF","disgust","Take A Load Off","Bubba Sparxxx","22hso4hlxjEiwgCMEMVfOF","0.0649000033736229","https://api.spotify.com/v1/audio-analysis/22hso4hlxjEiwgCMEMVfOF","0.6449999809265137","263253","0.9120000004768372","0.0","2","0.32600000500679016","-6.559000015258789","1","0.27300000190734863","93.86900329589844","4","0.5059999823570251"
"TRNISNM12903CAC362","7sZDbHZiuHEzS00vzCuhqS","disgust","Rapper's Delight","The Sugarhill Gang","7sZDbHZiuHEzS00vzCuhqS","0.4650000035762787","https://api.spotify.com/v1/audio-analysis/7sZDbHZiuHEzS00vzCuhqS","0.8999999761581421","427360","0.8450000286102295","0.0","11","0.07240000367164612","-7.306000232696533","0","0.25699999928474426","111.18699645996094","4","0.9139999747276306"
"TRTQRHY128F4241AFD","1oc4lB36kCRzLYLqsjhieZ","disgust","So I Thought","Flyleaf","1oc4lB36kCRzLYLqsjhieZ","0.0025500000920146704","https://api.spotify.com/v1/audio-analysis/1oc4lB36kCRzLYLqsjhieZ","0.3179999887943268","290867","0.800000011920929","0.0","2","0.19499999284744263","-5.690999984741211","1","0.047200001776218414","174.05099487304688","4","0.22200000286102295"
"TROXTXS128F9331D60","5pie01PYzPuRexCyFilLGU","disgust","Twentytwofourteen","The Album Leaf","5pie01PYzPuRexCyFilLGU","0.671999990940094","https://api.spotify.com/v1/audio-analysis/5pie01PYzPuRexCyFilLGU","0.2460000067949295","340840","0.5929999947547913","0.921999990940094","11","0.11100000143051147","-9.368000030517578","0","0.039900001138448715","92.46600341796875","5","0.0357000008225441"
"TRZVXXR128F4243075","08Y11GJWkSJDLlGzWgaBxx","disgust","21st Century Boy","Willy Mason","08Y11GJWkSJDLlGzWgaBxx","0.2759999930858612","https://api.spotify.com/v1/audio-analysis/08Y11GJWkSJDLlGzWgaBxx","0.527999997138977","272600","0.375","1.5199999324977398E-4","11","0.2029999941587448","-14.96500015258789","0","0.11400000005960464","108.32499694824219","4","0.22599999606609344"
